Location,Distance from Junction,Size of House,Number of Rooms,Distance from Metro,Furnished,Parking,Water & Electricity,Rent
Kengeri,2797.45967769071,439,3,4066.2747556094946,Furnished,No,Yes,10836.0
Majestic,3319.982942377652,366,5,2438.7685478548933,Furnished,Yes,No,31511.0
Yelahanka,6627.9627420972165,486,3,3769.7874700605016,Furnished,Yes,Yes,23891.0
Majestic,8706.338814834906,344,1,4338.705293358474,Semi-furnished,No,Yes,30084.0
Majestic,7590.869325556384,313,1,1956.9501323499976,Not furnished,No,Yes,17484.0
Silk Board,7275.292302250949,384,2,67.8478495200796,Semi-furnished,Yes,Yes,38068.0
Yelahanka,4843.911856008493,269,4,1274.632830104545,Furnished,Yes,Yes,27235.0
Yelahanka,6938.055569674118,611,2,4574.575205422045,Furnished,Yes,Yes,29286.0
Yelahanka,5527.6236803358315,473,2,3437.7113027614546,Not furnished,Yes,Yes,29450.0
Majestic,2162.505281865289,200,4,3686.093582184702,Furnished,Yes,Yes,37229.0
Kengeri,2085.883677410507,238,2,1626.4430713271072,Furnished,No,Yes,24730.0
Yelahanka,2963.9200687528346,434,4,3506.3649233749757,Furnished,Yes,Yes,13727.0
K.R Puram,9108.026709698133,377,2,3231.410727047126,Furnished,Yes,Yes,29969.0
Majestic,5474.148403797259,395,1,891.8683173851449,Furnished,Yes,Yes,19920.0
Silk Board,7339.053770018694,321,3,4843.453887153223,Furnished,Yes,Yes,22688.0
Kengeri,3465.587598165476,418,2,1770.1279667386998,Furnished,Yes,Yes,14926.0
K.R Puram,4077.1577066522523,324,3,1646.434869200211,Semi-furnished,Yes,Yes,29242.0
K.R Puram,1255.6557863725138,434,5,1845.80772115099,Furnished,Yes,Yes,24169.0
Silk Board,1712.9495782167037,465,2,458.59807660384666,Furnished,Yes,Yes,32867.0
Kengeri,8273.565548261455,591,1,3124.8175854660794,Furnished,Yes,Yes,10611.0
Majestic,5848.38631688882,272,4,1193.1212187319838,Semi-furnished,Yes,Yes,25171.0
Electronic City,3375.324658838189,348,1,4016.563781920904,Furnished,Yes,No,33350.0
Kengeri,8028.5120899554595,200,3,1970.7809006697291,Furnished,Yes,No,21461.0
Silk Board,2465.19905637983,623,4,2292.79241145326,Semi-furnished,Yes,No,37512.0
K.R Puram,9760.326986002037,200,1,3232.110270577795,Furnished,Yes,No,28410.0
Majestic,3448.176077461698,602,1,3809.355669768696,Furnished,Yes,Yes,35639.0
Kengeri,3373.109541512276,364,1,1155.5765242405585,Furnished,Yes,Yes,23948.0
Electronic City,3119.119055367052,412,4,4831.47164859073,Not furnished,Yes,Yes,15847.0
Electronic City,1221.1151592428794,325,1,3111.607729833406,Furnished,Yes,No,28590.0
Yelahanka,1111.371473320124,354,1,28.19311750193787,Furnished,Yes,Yes,11997.0
Yelahanka,6481.050345341234,438,3,2078.1110496177557,Furnished,Yes,Yes,26594.0
Silk Board,8751.18044558047,200,1,2184.0891031537712,Furnished,Yes,Yes,29725.0
Kengeri,7905.2051027167345,252,1,4045.8248798719846,Furnished,Yes,Yes,12427.0
Kengeri,1411.0759402135109,223,5,1525.6988706025193,Furnished,Yes,Yes,11738.0
K.R Puram,5455.821217920665,417,4,1656.1325814748172,Semi-furnished,Yes,Yes,21793.0
K.R Puram,1055.9154597664,350,5,352.4704642628396,Not furnished,Yes,Yes,21581.0
K.R Puram,452.94643613077443,442,3,1417.730122629074,Furnished,Yes,Yes,22276.0
Yelahanka,6563.858593847673,374,5,3584.8085074292503,Furnished,Yes,Yes,17622.0
Kengeri,5351.523336803503,508,2,3173.7845977990983,Furnished,Yes,Yes,18142.0
Kengeri,820.2368521147085,238,4,406.97044003947025,Furnished,Yes,No,21654.0
Electronic City,349.39246405988445,358,1,573.469460573915,Furnished,No,Yes,31960.0
Yelahanka,9897.564134093347,516,5,1884.62981962554,Furnished,No,Yes,26131.0
Majestic,300.2133214907188,486,5,3718.788810705049,Furnished,Yes,Yes,36972.0
Yelahanka,4445.282530501597,200,1,4164.59139064315,Semi-furnished,Yes,Yes,14484.0
Majestic,5046.190246076956,200,1,73.12021505008704,Furnished,Yes,Yes,33519.0
Electronic City,1172.8014780044505,337,3,1645.0528865370034,Furnished,No,Yes,32903.0
Silk Board,1690.6177843971625,314,5,2121.309318142875,Furnished,Yes,Yes,24133.0
Kengeri,3518.050064103525,340,5,4555.664053952283,Furnished,Yes,Yes,14010.0
Electronic City,7616.7587621366265,469,2,2507.0327885472143,Furnished,No,No,24892.0
Kengeri,5070.8242406026675,393,2,1348.5038262284188,Furnished,Yes,Yes,15591.0
K.R Puram,6379.018745529615,402,5,1950.235325819224,Furnished,Yes,Yes,25347.0
Silk Board,9851.745550906748,450,2,2182.172207473736,Furnished,Yes,Yes,22143.0
Silk Board,7680.054353132096,511,5,3349.9793676463923,Furnished,No,Yes,24202.0
Electronic City,4343.614981412177,200,4,205.43891483712605,Furnished,No,Yes,20468.0
Silk Board,4464.419217965487,292,3,1947.2583151217516,Furnished,Yes,No,32261.0
Majestic,6187.72077041005,217,2,3232.773184572257,Furnished,Yes,No,20386.0
Silk Board,6653.652084189043,421,5,1416.6115768219872,Furnished,Yes,Yes,33323.0
Kengeri,5007.109258366713,280,2,2958.7550333207705,Furnished,Yes,No,16091.0
Kengeri,6448.612228149799,361,3,1786.3946505202205,Furnished,Yes,No,13454.0
Kengeri,235.3249441409877,477,4,3793.6043375338772,Furnished,Yes,Yes,18897.0
Kengeri,4296.228638968441,259,1,302.98848231246734,Semi-furnished,Yes,No,20367.0
Majestic,2789.3807607347676,404,1,4589.809903506782,Not furnished,Yes,Yes,18927.0
Yelahanka,1291.7444524311038,583,2,858.0627397448782,Furnished,Yes,Yes,23786.0
K.R Puram,995.4651280877513,474,5,792.7354337467457,Furnished,Yes,No,26062.0
Electronic City,6031.921656146675,200,3,4203.214723866063,Furnished,No,Yes,32028.0
Kengeri,5236.005471526118,306,4,4346.414615119444,Semi-furnished,Yes,Yes,23929.0
Silk Board,2535.8411699636918,403,4,464.8665672290014,Furnished,Yes,Yes,27653.0
Kengeri,4709.500587725145,432,4,4543.5946400745515,Furnished,Yes,No,12971.0
Silk Board,4922.323151824083,312,1,1366.4893336448813,Furnished,Yes,Yes,19633.0
K.R Puram,1950.089804386158,254,3,3093.1084270402775,Furnished,Yes,Yes,17114.0
K.R Puram,6520.9306188165065,360,1,342.96745203947876,Furnished,Yes,Yes,20043.0
K.R Puram,7809.193563860905,200,2,1903.3055056410049,Not furnished,No,Yes,20166.0
Silk Board,7914.635408895189,514,4,2253.623045522689,Furnished,No,Yes,36410.0
Kengeri,6024.69830703455,630,3,2999.1328467815524,Furnished,Yes,Yes,11094.0
K.R Puram,5116.385825190141,409,4,2626.3598570723284,Furnished,Yes,No,29943.0
Majestic,610.0714300539489,315,1,2307.4648074579627,Furnished,Yes,Yes,22973.0
